ax,ay,az,state,ultrasound,stepdetected
0.032208,0.219356,0.998692,LOOKING_FOR_MIN,0.520000,0
0.008540,0.173972,1.072624,LOOKING_FOR_MIN,0.520000,0
-0.023424,0.116388,1.105808,LOOKING_FOR_MIN,0.520000,0
0.015860,-0.009516,0.984540,LOOKING_FOR_MIN,0.520000,0
0.083936,-0.013908,0.941108,LOOKING_FOR_MIN,0.520000,0
0.083204,-0.000732,0.921100,LOOKING_FOR_MIN,0.520000,0
0.207400,-0.052460,0.887916,LOOKING_FOR_MIN,0.520000,0
0.203984,-0.096868,0.864980,LOOKING_FOR_MIN,0.520000,0
0.205204,-0.087596,0.885476,LOOKING_FOR_MIN,0.520000,0
0.099064,-0.027328,0.936228,LOOKING_FOR_MIN,0.520000,0
0.010736,-0.046848,0.932812,LOOKING_FOR_MIN,0.520000,0
0.002196,-0.050264,0.915732,LOOKING_FOR_MIN,0.520000,0
0.026352,-0.145180,0.807640,LOOKING_FOR_MIN,0.520000,0
-0.002196,0.027328,0.915488,LOOKING_FOR_MIN,0.520000,0
0.023424,0.003172,0.843996,LOOKING_FOR_MIN,0.520000,0
0.055144,-0.075640,0.490440,LOOKING_FOR_MIN,0.520000,0
-0.026352,0.127124,0.775676,LOOKING_FOR_MIN,0.520000,0
-0.084668,0.182024,0.789096,LOOKING_FOR_MIN,0.520000,0
-0.095404,0.525088,0.832528,LOOKING_FOR_MIN,0.520000,0
-0.117364,0.598532,0.887428,LOOKING_FOR_MIN,0.520000,0
-0.106384,0.591456,0.909876,LOOKING_FOR_MIN,0.520000,0
-0.097356,0.567056,0.985028,LOOKING_FOR_MIN,0.520000,0
-0.190564,0.560712,0.887428,LOOKING_FOR_MIN,0.520000,0
-0.134444,0.396256,0.645624,LOOKING_FOR_MIN,0.520000,0
-0.110532,0.335256,0.949892,LOOKING_FOR_MIN,0.520000,0
-0.096624,0.790316,0.882792,LOOKING_FOR_MIN,0.520000,0
-0.052460,0.809348,0.892064,LOOKING_FOR_MIN,0.520000,0
0.021716,0.982344,0.987224,LOOKING_FOR_MIN,0.520000,0
-0.050264,1.000156,0.904020,LOOKING_FOR_MIN,0.520000,0
-0.117852,1.086532,0.818132,LOOKING_FOR_MIN,0.520000,0
-0.020252,0.843020,0.833504,LOOKING_FOR_MIN,0.520000,0
0.043432,0.752252,0.871324,LOOKING_FOR_MIN,0.520000,0
0.037332,0.729316,0.854732,LOOKING_FOR_MIN,0.520000,0
0.034648,0.738832,0.749080,LOOKING_FOR_MIN,0.520000,0
0.162504,0.567056,0.746884,LOOKING_FOR_MIN,0.520000,0
0.168604,0.520940,0.754936,LOOKING_FOR_MIN,0.520000,0
0.233996,0.598776,0.883524,LOOKING_FOR_MIN,0.520000,0
0.270596,0.655140,0.895480,LOOKING_FOR_MIN,0.520000,0
0.187636,0.659776,0.917928,LOOKING_FOR_MIN,0.520000,0
0.111264,0.631228,0.917440,LOOKING_FOR_MIN,0.520000,0
0.060756,0.551928,0.829600,LOOKING_FOR_MIN,0.520000,0
0.019520,0.481656,0.802516,LOOKING_FOR_MIN,0.520000,0
0.018544,0.432856,0.807396,LOOKING_FOR_MIN,0.520000,0
0.009760,0.323300,0.755424,LOOKING_FOR_MIN,0.520000,0
0.005856,0.287432,0.630984,LOOKING_FOR_MIN,0.520000,0
0.062952,0.076860,0.620980,LOOKING_FOR_MIN,0.520000,0
0.105408,0.032940,0.936228,LOOKING_FOR_MIN,0.520000,0
0.071248,0.229360,1.043100,LOOKING_FOR_MIN,0.520000,0
-0.029768,0.540460,0.826184,LOOKING_FOR_MIN,0.520000,0
0.066368,0.581208,1.028460,LOOKING_FOR_MIN,0.520000,0
0.135664,0.455548,1.001864,LOOKING_FOR_MIN,0.520000,0
0.292068,0.425536,1.100196,LOOKING_FOR_MIN,0.520000,0
0.253028,0.525332,1.213656,LOOKING_FOR_MIN,0.520000,0
0.207400,0.583892,1.151436,LOOKING_FOR_SECOND_MAX,0.520000,0
0.142740,0.595848,1.069940,LOOKING_FOR_SECOND_MAX,0.520000,0
0.054168,0.459452,0.808128,LOOKING_FOR_SECOND_MAX,0.520000,0
0.058560,0.370880,0.829600,LOOKING_FOR_SECOND_MAX,0.520000,0
0.151768,0.162504,0.935008,LOOKING_FOR_SECOND_MAX,0.520000,0
0.133956,0.088816,0.847168,LOOKING_FOR_SECOND_MAX,0.520000,0
0.120292,0.051972,0.897920,LOOKING_FOR_SECOND_MAX,0.520000,0
0.068564,0.030744,0.998692,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.176412,-0.231068,0.666120,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.186416,-0.040992,0.843752,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.104188,-0.000732,1.006744,LOOKING_FOR_SECOND_MAX,0.520000,0
0.069296,-0.097844,1.017236,LOOKING_FOR_SECOND_MAX,0.520000,0
0.052460,-0.115900,1.026264,LOOKING_FOR_SECOND_MAX,0.520000,0
0.035624,-0.088816,1.025532,LOOKING_FOR_SECOND_MAX,0.520000,0
0.056608,-0.130296,1.027484,LOOKING_FOR_SECOND_MAX,0.520000,0
0.095648,-0.087840,0.987224,LOOKING_FOR_SECOND_MAX,0.520000,0
0.172020,-0.062220,1.005524,LOOKING_FOR_SECOND_MAX,0.520000,0
0.148352,-0.010004,1.072624,LOOKING_FOR_SECOND_MAX,0.520000,0
0.153720,0.002440,1.067256,LOOKING_FOR_SECOND_MAX,0.520000,0
0.175436,0.003416,1.072380,LOOKING_FOR_SECOND_MAX,0.520000,0
0.145180,0.120780,1.166564,LOOKING_FOR_SECOND_MAX,0.520000,0
0.124684,0.097112,1.183400,LOOKING_FOR_SECOND_MAX,0.520000,0
0.067100,0.060756,1.043588,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.020740,-0.032940,1.027240,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.016592,-0.016348,1.008208,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.070272,0.032208,0.885232,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.037820,0.004636,0.924760,LOOKING_FOR_SECOND_MAX,0.520000,0
0.031720,0.060756,0.969656,LOOKING_FOR_SECOND_MAX,0.520000,0
0.094672,0.100772,1.000644,LOOKING_FOR_SECOND_MAX,0.520000,0
0.026352,0.084424,0.974048,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.079544,0.171288,0.316712,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.051728,0.004880,0.924760,LOOKING_FOR_SECOND_MAX,0.520000,0
0.017568,0.141276,0.933788,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.044896,-0.081740,0.969900,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.110044,-0.101016,0.944036,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.015128,0.066124,0.969412,LOOKING_FOR_SECOND_MAX,0.520000,0
0.010248,0.066368,0.979660,LOOKING_FOR_SECOND_MAX,0.520000,0
0.142740,0.123952,0.957700,LOOKING_FOR_SECOND_MAX,0.520000,0
0.066124,0.185440,0.963312,LOOKING_FOR_SECOND_MAX,0.520000,0
0.030256,0.088816,0.970632,LOOKING_FOR_SECOND_MAX,0.520000,0
0.052460,-0.000976,0.992104,LOOKING_FOR_MIN,0.520000,0
-0.019276,-0.031232,0.993568,LOOKING_FOR_MIN,0.520000,0
-0.074664,-0.029768,1.035048,LOOKING_FOR_MIN,0.520000,0
0.023668,0.051972,1.015040,LOOKING_FOR_MIN,0.520000,0
0.050508,0.079788,1.018700,LOOKING_FOR_MIN,0.520000,0
0.021228,0.036112,1.021384,LOOKING_FOR_MIN,0.520000,0
0.016348,-0.004148,1.026020,LOOKING_FOR_MIN,0.520000,0
0.008784,0.029036,1.016016,LOOKING_FOR_MIN,0.520000,0
0.008784,0.038796,1.014796,LOOKING_FOR_MIN,0.520000,0
0.010492,0.016348,1.009672,LOOKING_FOR_SECOND_MAX,0.520000,0
0.015860,0.017324,1.021384,LOOKING_FOR_SECOND_MAX,0.520000,0
0.010248,0.019520,1.019188,LOOKING_FOR_SECOND_MAX,0.520000,0
0.003416,0.020496,1.016748,LOOKING_FOR_SECOND_MAX,0.520000,0
0.011712,0.029036,1.031632,LOOKING_FOR_SECOND_MAX,0.520000,0
