-0.040,0.028,1.000,1.709,0.916,3.235
-0.038,0.026,1.000,1.892,0.366,3.662
-0.038,0.031,1.000,1.221,-0.305,4.028
-0.036,0.035,1.001,0.671,-0.793,4.150
-0.041,0.039,1.001,0.549,-0.916,4.578
-0.045,0.037,0.998,0.610,-0.732,4.761
-0.046,0.040,0.997,0.732,-0.061,4.700
-0.047,0.040,0.995,0.244,0.671,4.822
-0.047,0.043,0.994,-0.854,0.977,4.944
-0.047,0.049,1.001,-1.770,0.732,5.371
-0.051,0.055,1.007,-2.136,0.000,5.615
-0.058,0.059,1.015,-2.258,-1.038,5.493
-0.068,0.065,1.021,-2.014,-1.953,5.249
-0.078,0.069,1.023,-1.404,-2.136,4.883
-0.084,0.070,1.021,-0.305,-1.892,4.333
-0.088,0.068,1.016,0.916,-1.282,4.150
-0.089,0.064,1.005,1.465,0.183,4.211
-0.086,0.058,0.997,1.282,1.892,3.784
-0.078,0.056,0.990,0.977,3.601,3.662
-0.071,0.060,0.983,0.366,4.578,3.662
-0.062,0.057,0.973,0.061,4.761,3.784
-0.053,0.055,0.970,0.427,4.456,3.967
-0.047,0.053,0.970,0.977,3.357,4.089
-0.043,0.047,0.966,1.221,2.014,4.089
-0.042,0.041,0.963,1.465,0.854,3.967
-0.042,0.039,0.962,1.465,-0.061,3.967
-0.042,0.037,0.965,1.160,-0.671,4.028
-0.040,0.039,0.972,0.671,-1.160,4.333
-0.039,0.039,0.977,0.549,-1.709,4.822
-0.040,0.038,0.985,1.160,-1.892,4.944
-0.039,0.037,0.990,1.526,-2.136,4.944
-0.042,0.040,0.997,1.282,-2.258,5.249
-0.049,0.048,1.000,0.854,-2.197,5.615
-0.055,0.055,1.001,0.549,-2.136,5.920
-0.056,0.058,1.009,0.610,-1.770,6.348
-0.059,0.061,1.014,0.610,-0.916,6.470
-0.063,0.063,1.020,0.916,-0.061,6.348
-0.066,0.066,1.022,1.160,0.549,6.348
-0.070,0.067,1.021,1.465,1.587,6.226
-0.069,0.064,1.022,1.953,2.686,6.653
-0.067,0.062,1.023,2.319,3.662,7.080
-0.064,0.065,1.022,2.380,4.211,7.385
-0.062,0.068,1.025,2.136,4.456,7.568
-0.060,0.074,1.032,2.319,4.333,7.751
-0.062,0.076,1.032,3.052,3.540,7.751
-0.068,0.077,1.024,3.723,2.930,7.446
-0.069,0.075,1.020,4.578,3.174,7.141
-0.070,0.075,1.015,5.127,3.479,6.836
-0.072,0.076,1.007,5.310,4.456,7.019
-0.068,0.079,1.001,4.883,5.676,7.629
-0.059,0.080,1.001,4.639,6.165,7.996
-0.051,0.080,0.998,4.395,6.348,8.545
-0.046,0.083,0.994,4.333,6.470,8.667
-0.041,0.083,0.985,4.089,6.165,8.606
-0.037,0.085,0.979,3.723,5.920,8.179
-0.032,0.091,0.979,3.113,5.798,7.874
-0.027,0.099,0.981,2.502,5.554,7.874
-0.022,0.108,0.982,2.563,5.127,7.874
-0.017,0.112,0.985,3.540,4.822,7.751
-0.011,0.110,0.986,5.127,4.211,7.385
-0.007,0.100,0.986,7.324,3.296,6.958
-0.007,0.091,0.986,8.240,1.892,6.653
-0.007,0.088,0.984,8.057,0.549,6.348
-0.009,0.083,0.983,7.751,-0.366,6.104
-0.010,0.079,0.981,7.690,-1.038,6.409
-0.009,0.074,0.976,7.446,-0.977,7.202
-0.006,0.065,0.976,6.897,-0.732,7.996
-0.001,0.065,0.980,5.737,-0.549,8.606
-0.001,0.073,0.975,4.272,-0.366,9.277
0.005,0.080,0.981,3.113,-0.122,10.010
0.010,0.093,0.988,1.892,0.122,10.559
0.014,0.108,0.992,1.526,0.183,10.620
0.017,0.116,0.996,2.258,0.183,10.681
0.019,0.118,0.997,3.601,0.427,10.315
0.016,0.119,0.993,4.639,0.549,9.583
0.014,0.118,0.993,5.249,0.488,8.667
0.010,0.117,0.993,5.371,0.549,7.874
0.005,0.120,0.995,5.310,0.610,7.080
0.001,0.123,1.000,5.920,0.366,6.287
-0.005,0.116,0.997,7.019,0.183,5.676
-0.011,0.111,0.990,7.507,0.305,4.761
-0.013,0.104,0.989,7.446,0.671,4.028
-0.019,0.103,0.984,6.714,1.160,3.479
-0.021,0.101,0.982,5.615,1.892,3.174
-0.018,0.102,0.981,4.211,2.869,3.235
-0.014,0.104,0.980,3.479,3.601,2.991
-0.009,0.103,0.976,3.479,3.723,2.747
-0.007,0.102,0.970,4.150,3.967,2.380
-0.005,0.097,0.964,4.944,3.784,1.953
0.002,0.096,0.961,5.737,3.540,1.648
0.006,0.093,0.955,6.592,3.174,1.770
0.009,0.087,0.948,7.324,2.991,2.319
0.017,0.082,0.941,7.751,2.930,2.380
0.025,0.078,0.941,7.568,2.686,2.380
0.033,0.079,0.940,6.958,2.380,2.563
0.042,0.080,0.940,6.775,1.892,2.869
0.051,0.080,0.943,6.775,1.526,3.113
0.059,0.078,0.946,7.507,1.160,3.174
0.068,0.071,0.948,8.545,0.732,3.113
0.075,0.057,0.943,9.338,0.488,2.930
0.081,0.049,0.946,8.667,0.488,2.502
0.086,0.050,0.952,7.263,0.977,1.953
0.091,0.052,0.963,6.470,1.160,2.014
0.098,0.046,0.962,5.737,0.793,2.319
0.101,0.061,0.978,4.517,-0.122,2.625
0.100,0.069,0.990,3.967,-0.549,3.174
0.094,0.066,0.991,4.639,-0.793,3.479
0.085,0.065,0.996,5.127,-0.488,3.601
0.080,0.069,0.997,4.822,0.671,3.784
0.078,0.071,1.002,4.578,2.075,4.578
0.074,0.069,1.009,5.554,3.479,5.249
0.071,0.067,1.012,6.531,4.578,5.920
0.068,0.063,1.009,7.751,5.371,6.653
0.063,0.056,0.999,8.423,6.104,7.019
0.061,0.048,0.986,8.179,7.324,7.385
0.061,0.038,0.981,6.958,9.216,7.690
0.063,0.040,0.986,4.578,10.681,7.568
0.062,0.050,0.991,2.930,11.475,7.690
0.062,0.056,0.999,2.991,11.719,8.179
0.061,0.057,1.010,5.249,11.108,8.850
0.058,0.052,1.016,8.362,9.521,9.827
0.049,0.043,1.013,10.925,7.385,11.047
0.037,0.035,1.017,11.841,5.737,12.634
0.022,0.032,1.021,10.620,4.761,13.611
0.005,0.037,1.028,9.094,4.883,13.611
-0.009,0.035,1.029,7.996,6.592,13.489
-0.013,0.029,1.030,8.240,9.644,12.939
-0.011,0.019,1.023,9.766,13.855,12.390
0.005,0.012,1.016,11.108,17.944,12.146
0.023,-0.007,1.005,12.939,20.996,12.695
0.046,-0.029,1.012,14.099,22.522,14.038
0.078,-0.050,1.045,12.207,21.606,15.564
0.077,-0.053,1.115,7.629,16.846,16.418
0.032,-0.022,1.174,2.686,8.728,16.113
-0.010,-0.005,1.253,0.854,0.061,14.954
-0.049,-0.007,1.343,1.648,-8.179,13.123
-0.099,-0.006,1.399,2.014,-16.357,10.498
-0.161,0.005,1.402,2.319,-21.729,7.874
-0.216,0.017,1.375,3.540,-22.217,6.897
-0.251,0.026,1.334,5.615,-17.761,7.568
-0.262,0.019,1.278,7.629,-9.521,9.644
-0.250,0.003,1.218,8.667,0.671,12.451
-0.229,-0.006,1.165,7.690,11.658,15.442
-0.206,-0.012,1.109,5.371,21.484,18.066
-0.175,-0.019,1.041,3.296,29.541,20.142
-0.141,-0.026,0.974,1.038,36.072,21.912
-0.104,-0.033,0.905,-1.160,41.687,22.949
-0.071,-0.038,0.833,-2.075,46.875,23.560
-0.028,-0.039,0.793,-2.197,51.147,23.499
0.014,-0.033,0.806,-1.587,52.856,23.193
0.042,-0.044,0.808,0.549,50.537,21.851
0.061,-0.040,0.837,0.183,44.312,19.287
0.064,-0.038,0.880,-0.549,34.607,15.625
0.055,-0.045,0.923,-0.549,21.912,11.108
