sample_number
426
502
587
667
750
838
918
991
1070
1147
1227
1329
1443
1552
1649
1717
1789
1850
1920
1988
2071
2158
2551
2761
2856
2915
3014
3104
3175
3251
3327
3404
3487
4141
4238
4315
4390
4461
4536
4603
4677
4755
4832
4909
4986
5054
5128
5203
5278
5343
5414
5485
5553
5627
6951
7035
7108
7186
7292
7374
7458
7520
7589
7663
7725
7794
7855
7922
7998
8081
8172
8277
8377
8472
8552
8678
8774
8983
9067
9151
9224
9316
