ax,ay,az,gx,gy,gz
-0.419,0.913,0.109,2.502,3.479,4.272
-0.417,0.909,0.108,2.441,3.052,3.601
-0.418,0.908,0.108,2.563,2.563,3.174
-0.420,0.910,0.106,2.563,2.075,2.625
-0.424,0.913,0.105,2.747,1.587,2.258
-0.428,0.915,0.103,3.052,1.160,2.014
-0.431,0.917,0.103,3.479,1.099,1.892
-0.434,0.915,0.104,3.662,0.854,1.892
-0.434,0.912,0.105,3.723,0.549,1.709
-0.437,0.910,0.107,3.540,0.427,1.770
-0.440,0.907,0.108,3.418,0.549,1.526
-0.441,0.904,0.106,3.235,0.854,1.465
-0.443,0.902,0.103,2.869,1.526,1.465
-0.444,0.903,0.099,2.747,2.502,1.770
-0.442,0.902,0.097,2.258,3.601,2.319
-0.439,0.902,0.096,1.892,4.578,2.686
-0.437,0.903,0.099,1.892,5.188,2.930
-0.433,0.904,0.101,1.892,5.005,3.113
-0.430,0.906,0.104,1.892,4.272,2.869
-0.429,0.907,0.109,2.319,3.113,2.625
-0.430,0.908,0.114,2.808,1.709,2.136
-0.434,0.908,0.114,3.418,0.488,1.587
-0.438,0.904,0.111,3.601,-0.610,1.404
-0.444,0.903,0.106,3.967,-1.099,1.465
-0.449,0.901,0.103,3.784,-0.916,1.648
-0.453,0.901,0.099,3.418,-0.122,1.892
-0.456,0.901,0.097,2.991,1.099,2.197
-0.454,0.900,0.097,2.563,2.808,2.930
-0.450,0.900,0.099,2.197,4.211,3.418
-0.443,0.900,0.101,1.770,5.249,3.662
-0.438,0.900,0.104,1.587,5.676,4.028
-0.435,0.901,0.103,1.587,5.493,4.028
-0.435,0.900,0.103,1.770,4.944,3.723
-0.434,0.899,0.103,2.075,4.028,3.540
-0.435,0.899,0.102,2.625,2.869,3.357
-0.439,0.902,0.100,2.380,1.404,2.930
-0.443,0.908,0.097,2.502,0.305,2.808
-0.445,0.910,0.098,2.625,-0.061,3.052
-0.443,0.907,0.099,2.808,0.061,3.418
-0.442,0.904,0.102,2.991,0.122,3.784
-0.446,0.905,0.104,2.869,0.671,3.662
-0.447,0.908,0.104,2.686,1.343,3.479
-0.449,0.909,0.103,2.502,1.953,3.723
-0.448,0.908,0.102,2.563,2.441,3.784
-0.448,0.911,0.099,2.197,2.869,3.845
-0.444,0.913,0.096,1.892,3.235,4.272
-0.441,0.911,0.094,1.770,3.662,4.578
-0.435,0.907,0.095,1.648,3.723,4.639
-0.430,0.905,0.096,1.709,3.601,4.578
-0.427,0.903,0.098,1.404,3.174,4.272
-0.426,0.902,0.099,1.587,2.747,3.784
-0.427,0.900,0.100,1.892,2.075,3.052
-0.433,0.899,0.099,2.136,1.343,2.686
-0.439,0.902,0.095,2.441,0.610,2.625
-0.443,0.901,0.093,2.319,0.244,2.991
-0.446,0.899,0.090,2.258,0.549,3.418
-0.446,0.902,0.091,1.892,0.977,3.967
-0.444,0.905,0.093,1.343,1.709,4.639
-0.442,0.910,0.096,1.038,2.563,4.761
-0.439,0.913,0.100,0.916,3.357,5.005
-0.433,0.916,0.100,1.099,3.723,4.944
-0.428,0.917,0.101,1.465,3.601,4.822
-0.425,0.914,0.099,1.831,3.540,4.578
-0.426,0.910,0.098,2.136,3.113,3.967
-0.429,0.908,0.098,1.892,2.197,3.418
-0.431,0.909,0.097,1.526,1.282,3.113
-0.435,0.908,0.098,1.038,0.549,2.747
-0.439,0.908,0.100,1.160,0.061,2.747
-0.439,0.907,0.105,0.977,-0.183,2.686
-0.441,0.906,0.109,1.160,0.122,3.052
-0.438,0.904,0.112,1.526,0.610,3.357
-0.435,0.905,0.113,1.892,0.977,3.662
-0.433,0.904,0.110,2.258,1.709,4.150
-0.431,0.903,0.104,2.686,2.808,4.272
-0.428,0.903,0.096,2.686,3.906,4.395
-0.427,0.902,0.091,2.625,5.127,4.211
-0.426,0.900,0.087,1.953,5.859,3.845
-0.426,0.899,0.084,1.465,6.287,3.418
-0.423,0.899,0.087,0.793,6.042,2.930
-0.425,0.899,0.090,0.183,5.432,2.625
-0.426,0.901,0.095,-0.183,4.456,2.380
-0.428,0.903,0.102,0.183,3.113,2.197
-0.431,0.904,0.108,1.038,1.831,2.136
-0.434,0.907,0.113,1.709,0.671,2.136
-0.438,0.908,0.113,2.563,-0.366,2.075
-0.443,0.907,0.113,3.540,-1.099,2.197
-0.449,0.908,0.113,4.028,-1.282,2.014
-0.450,0.907,0.112,4.333,-1.099,2.014
-0.450,0.904,0.109,4.333,-0.549,2.075
-0.451,0.903,0.105,4.089,0.366,2.380
-0.451,0.901,0.102,3.662,1.770,2.319
-0.447,0.898,0.100,2.991,2.991,2.258
-0.446,0.896,0.100,2.502,4.089,2.319
-0.446,0.895,0.101,2.014,5.127,2.197
-0.445,0.895,0.102,1.709,5.432,2.075
-0.445,0.895,0.103,1.709,5.188,2.319
-0.445,0.897,0.105,1.709,4.578,2.380
-0.444,0.902,0.106,2.136,3.662,2.686
-0.443,0.903,0.108,2.625,2.502,3.052
-0.444,0.904,0.108,3.235,1.465,3.052
-0.443,0.907,0.107,3.906,0.671,3.113
-0.443,0.909,0.108,4.578,0.122,3.052
-0.444,0.907,0.106,5.127,-0.061,2.930
-0.443,0.903,0.103,5.188,0.183,2.747
-0.446,0.900,0.099,5.005,0.549,2.502
-0.449,0.898,0.093,4.639,1.282,2.319
-0.453,0.894,0.093,4.150,2.136,2.258
-0.455,0.893,0.092,3.540,2.991,2.197
-0.454,0.893,0.093,2.686,3.601,2.502
-0.455,0.897,0.091,2.197,4.150,2.930
-0.452,0.900,0.091,2.014,4.456,3.479
-0.446,0.902,0.093,2.014,4.700,4.150
-0.441,0.900,0.094,2.686,4.578,4.822
-0.436,0.900,0.094,2.930,4.150,5.066
-0.435,0.903,0.095,3.113,3.601,4.883
-0.437,0.905,0.094,3.235,2.625,4.517
-0.440,0.906,0.095,3.479,1.831,3.845
