-0.021,0.186,0.966,9.033,1.404,-0.610
-0.022,0.175,0.974,10.925,0.854,-0.977
-0.028,0.168,0.984,11.353,0.488,-1.343
-0.030,0.148,0.993,10.803,0.183,-1.526
-0.033,0.142,0.996,9.094,0.122,-1.831
-0.038,0.146,0.999,6.653,0.305,-1.831
-0.036,0.149,1.000,5.493,0.549,-1.282
-0.037,0.146,1.001,5.066,0.854,-0.488
-0.035,0.142,1.002,5.127,1.160,0.488
-0.031,0.143,1.001,4.700,1.648,1.404
-0.024,0.147,0.997,3.357,1.770,1.892
-0.020,0.153,0.989,2.136,1.892,2.136
-0.014,0.169,0.987,2.136,2.258,2.258
-0.009,0.171,0.981,4.578,2.441,2.686
-0.007,0.169,0.974,7.935,2.380,2.991
-0.003,0.140,0.974,9.949,2.075,3.723
-0.005,0.135,0.973,9.583,1.404,3.906
-0.007,0.136,0.970,7.263,0.732,3.723
-0.006,0.138,0.975,4.822,0.305,4.028
-0.010,0.141,0.981,3.601,-0.122,4.639
-0.016,0.143,0.981,2.625,-0.610,5.249
-0.021,0.144,0.988,2.319,-0.732,5.737
-0.024,0.144,0.993,2.563,-0.671,6.042
-0.028,0.145,0.994,2.563,-0.122,6.165
-0.030,0.145,0.999,2.808,0.610,6.287
-0.032,0.145,1.004,3.906,1.404,6.348
-0.034,0.147,1.007,5.615,2.380,6.226
-0.036,0.142,1.002,7.324,3.357,6.348
-0.036,0.136,1.003,8.179,4.578,6.836
-0.031,0.131,1.000,8.057,5.493,7.080
-0.031,0.134,0.996,7.019,5.798,7.263
-0.023,0.125,0.994,5.127,5.676,7.996
-0.027,0.141,0.989,3.357,4.578,8.118
-0.031,0.143,0.981,2.441,3.418,8.362
-0.034,0.148,0.978,2.319,2.930,8.789
-0.034,0.152,0.981,2.380,2.502,9.033
-0.036,0.157,0.981,3.113,2.380,9.277
-0.038,0.156,0.980,3.784,2.258,9.399
-0.040,0.152,0.988,4.028,2.136,9.460
-0.042,0.150,0.994,3.052,1.831,9.583
-0.046,0.156,0.995,1.343,1.648,9.277
-0.050,0.161,0.993,0.122,1.465,9.033
-0.051,0.165,0.990,-0.305,1.831,9.033
-0.053,0.167,0.989,0.000,2.258,9.094
-0.053,0.173,0.987,0.305,2.625,9.216
-0.051,0.176,0.989,1.099,3.113,9.521
-0.055,0.178,0.989,2.502,3.296,9.155
-0.055,0.174,0.990,3.601,3.357,8.667
-0.057,0.166,0.992,4.150,3.174,8.118
-0.060,0.160,0.993,3.784,2.991,7.568
-0.063,0.156,0.996,2.563,2.258,6.836
-0.065,0.157,0.990,0.977,1.831,5.981
-0.068,0.158,0.988,-0.183,1.587,5.493
-0.070,0.165,0.985,-0.732,1.770,5.432
-0.070,0.163,0.992,0.061,1.892,5.310
-0.068,0.161,0.992,1.831,2.625,4.761
-0.071,0.158,0.990,3.967,3.662,3.967
-0.066,0.149,0.996,5.493,4.639,3.479
-0.065,0.147,0.996,6.165,5.310,3.052
-0.063,0.143,0.995,6.287,5.920,2.991
-0.060,0.139,0.993,6.165,6.470,3.174
-0.057,0.133,0.989,6.226,6.592,3.357
-0.054,0.132,0.982,5.981,6.470,3.418
-0.053,0.127,0.970,5.676,6.470,3.357
-0.043,0.124,0.982,5.005,6.104,3.418
-0.044,0.131,0.975,4.395,5.188,3.357
-0.046,0.130,0.976,4.761,3.845,3.662
-0.050,0.129,0.982,5.859,2.747,3.845
-0.054,0.120,0.978,5.676,2.014,3.906
-0.056,0.116,0.975,4.150,1.953,3.784
-0.057,0.122,0.974,2.563,2.441,3.540
-0.054,0.133,0.971,1.038,3.052,3.296
-0.051,0.141,0.972,1.404,3.540,3.662
-0.045,0.137,0.975,3.662,3.967,4.272
-0.046,0.132,0.971,5.981,3.967,4.761
-0.045,0.129,0.971,6.592,3.723,5.005
-0.041,0.125,0.980,6.165,3.357,4.761
-0.042,0.124,0.982,4.883,2.258,3.967
-0.047,0.127,0.987,3.052,0.854,3.235
-0.051,0.127,0.990,1.770,-0.183,2.441
-0.057,0.132,0.989,0.488,-0.671,1.892
-0.061,0.140,0.990,0.122,-0.366,1.709
-0.062,0.142,0.992,0.916,0.305,1.587
-0.062,0.141,0.990,2.991,1.465,1.831
-0.062,0.133,0.990,4.822,2.686,2.319
-0.059,0.129,0.991,5.920,3.784,2.686
-0.053,0.131,0.997,6.409,4.761,3.113
-0.048,0.127,0.996,6.348,5.249,3.418
-0.046,0.123,0.988,5.798,5.249,3.479
-0.042,0.125,0.983,4.883,5.066,3.296
