ax,ay,az,gx,gy,gz
0.798,-0.066,0.591,5.798,0.244,9.827
0.800,-0.053,0.587,5.127,1.465,9.949
0.798,-0.044,0.583,4.578,2.502,9.766
0.798,-0.038,0.578,4.517,3.357,9.583
0.798,-0.029,0.573,4.150,4.028,9.460
0.798,-0.021,0.567,3.540,4.395,9.583
0.795,-0.016,0.564,3.174,4.578,9.705
0.794,-0.012,0.559,3.418,4.639,9.583
0.794,-0.009,0.557,3.357,4.456,9.399
0.795,-0.008,0.558,3.418,4.028,9.338
0.795,-0.004,0.557,3.479,3.357,9.277
0.797,-0.003,0.559,3.418,2.747,9.583
0.798,-0.004,0.562,3.235,1.892,9.827
0.795,-0.004,0.564,3.113,1.160,9.705
0.793,-0.008,0.569,3.052,0.977,9.583
0.791,-0.012,0.573,2.991,0.977,9.033
0.783,-0.020,0.578,2.502,1.404,8.423
0.786,-0.024,0.579,1.709,2.319,8.118
0.791,-0.029,0.583,1.526,2.869,7.874
0.789,-0.029,0.582,1.160,3.174,7.751
0.783,-0.029,0.580,0.916,3.662,7.019
0.779,-0.029,0.578,0.732,4.089,5.859
0.773,-0.026,0.574,0.488,4.456,4.883
0.763,-0.025,0.570,0.244,4.822,4.272
0.759,-0.026,0.565,0.061,4.761,4.150
0.755,-0.027,0.561,-0.122,4.333,4.700
0.759,-0.028,0.559,-0.122,3.845,5.676
0.760,-0.032,0.558,0.183,3.174,6.653
0.768,-0.035,0.560,0.366,2.808,6.958
0.776,-0.038,0.563,0.671,2.319,6.592
0.775,-0.039,0.567,1.038,2.197,5.981
0.783,-0.038,0.568,1.282,1.709,5.554
0.790,-0.040,0.570,1.404,1.465,5.310
0.792,-0.038,0.570,1.526,1.404,5.066
0.791,-0.037,0.571,1.709,1.465,4.822
0.789,-0.034,0.568,2.014,1.526,4.395
0.790,-0.032,0.567,2.319,1.526,4.211
0.786,-0.028,0.565,2.563,1.831,3.967
0.778,-0.027,0.563,3.113,1.831,3.235
0.779,-0.022,0.563,3.784,1.465,2.319
0.782,-0.021,0.566,4.395,0.916,1.587
0.783,-0.023,0.569,4.517,0.183,1.526
0.782,-0.024,0.573,4.639,-0.732,1.587
0.781,-0.027,0.577,4.700,-1.160,1.770
0.781,-0.029,0.579,4.211,-0.732,1.709
0.779,-0.033,0.581,4.028,-0.366,1.831
0.783,-0.036,0.582,3.662,0.244,2.014
0.783,-0.039,0.581,3.296,1.099,2.258
0.784,-0.040,0.583,2.930,1.465,2.441
0.786,-0.041,0.581,2.625,1.770,2.502
0.789,-0.043,0.580,2.869,2.075,2.197
0.791,-0.048,0.580,3.113,2.380,2.380
0.790,-0.050,0.581,3.357,2.258,2.502
0.788,-0.052,0.580,3.601,2.441,2.502
0.787,-0.053,0.581,3.784,2.136,2.808
0.786,-0.053,0.581,4.089,1.770,2.563
0.788,-0.054,0.583,4.517,1.526,2.991
0.785,-0.052,0.582,4.700,1.343,3.357
0.782,-0.050,0.580,4.883,1.465,3.601
0.781,-0.051,0.580,5.005,1.770,3.723
0.781,-0.048,0.578,4.700,2.380,3.418
0.781,-0.045,0.577,4.700,2.747,3.418
0.781,-0.042,0.575,4.456,2.747,3.113
0.783,-0.041,0.575,4.211,2.747,2.991
0.784,-0.038,0.576,4.211,2.441,2.808
0.784,-0.037,0.575,4.089,2.136,3.235
0.784,-0.037,0.573,4.150,1.953,3.235
0.782,-0.039,0.575,3.967,1.709,3.357
0.781,-0.037,0.575,3.845,1.160,3.601
0.779,-0.037,0.578,4.028,0.793,3.784
0.779,-0.037,0.580,4.028,0.549,3.845
0.780,-0.038,0.582,4.150,0.977,4.272
0.782,-0.038,0.582,3.967,1.526,4.639
0.783,-0.039,0.583,3.906,2.136,4.822
0.784,-0.039,0.584,3.662,2.563,4.578
0.783,-0.039,0.584,3.418,2.869,4.211
0.783,-0.039,0.585,3.418,2.747,3.662
0.782,-0.040,0.585,3.418,2.686,3.601
0.783,-0.041,0.585,3.479,2.869,3.967
0.780,-0.041,0.584,3.601,2.747,4.272
0.778,-0.040,0.582,3.723,2.625,4.761
0.779,-0.040,0.579,3.479,2.625,4.883
0.780,-0.040,0.579,3.235,2.686,4.944
0.780,-0.037,0.578,3.235,2.136,4.761
0.782,-0.038,0.577,3.235,2.014,4.761
0.783,-0.040,0.577,3.784,1.648,4.883
0.784,-0.041,0.578,3.784,1.465,5.005
0.781,-0.040,0.579,3.479,1.221,5.127
0.779,-0.040,0.578,3.479,1.282,5.005
0.781,-0.039,0.579,3.418,1.892,4.700
0.781,-0.038,0.578,3.113,2.319,4.517
0.781,-0.036,0.575,2.869,2.686,4.456
0.779,-0.035,0.572,2.930,2.747,4.333
0.779,-0.036,0.573,2.808,2.869,4.517
0.779,-0.036,0.574,2.808,2.686,4.456
0.778,-0.036,0.576,2.869,2.441,4.395
0.779,-0.035,0.577,2.747,2.136,4.395
0.779,-0.037,0.579,2.808,1.709,4.028
0.777,-0.039,0.580,2.930,1.343,3.784
0.775,-0.039,0.583,3.174,1.221,3.540
0.775,-0.039,0.586,3.418,1.343,3.906
0.774,-0.038,0.584,3.052,1.648,4.395
0.775,-0.036,0.584,2.747,1.892,4.761
0.773,-0.032,0.583,2.747,2.319,4.700
0.768,-0.031,0.581,2.563,2.441,4.395
0.771,-0.031,0.581,2.625,2.502,3.906
0.772,-0.030,0.579,2.869,2.319,3.784
0.775,-0.027,0.581,2.869,2.197,3.845
0.775,-0.027,0.580,2.991,1.831,4.089
0.775,-0.026,0.580,3.052,1.404,4.028
0.778,-0.024,0.581,3.052,1.038,4.028
0.780,-0.022,0.582,2.869,0.610,3.906
0.781,-0.023,0.584,2.869,0.488,3.845
0.779,-0.023,0.587,2.808,0.488,3.540
0.779,-0.023,0.587,2.502,0.549,3.235
0.779,-0.025,0.588,2.197,0.854,3.296
0.782,-0.027,0.587,1.709,1.465,3.357
0.785,-0.029,0.585,1.099,1.953,3.113
0.786,-0.028,0.586,0.916,2.136,2.686
0.789,-0.031,0.587,0.977,2.197,2.258
0.792,-0.033,0.589,1.404,2.136,2.258
0.783,-0.032,0.588,1.282,2.014,2.563
0.778,-0.031,0.583,1.404,2.014,3.296
0.781,-0.032,0.583,1.587,2.319,3.662
0.780,-0.030,0.580,1.465,2.441,3.479
0.778,-0.029,0.580,1.221,2.625,3.174
0.779,-0.030,0.581,1.404,2.686,2.625
0.782,-0.032,0.584,1.526,2.136,2.014
0.781,-0.031,0.585,1.892,2.136,1.953
0.781,-0.033,0.587,2.197,2.075,2.136
0.780,-0.033,0.589,2.197,2.319,1.953
0.781,-0.034,0.588,1.953,2.625,1.648
0.779,-0.034,0.588,1.526,3.113,1.099
0.775,-0.031,0.584,1.221,3.662,0.366
0.768,-0.026,0.579,1.282,4.211,-0.183
0.767,-0.027,0.571,1.221,4.639,0.244
0.772,-0.031,0.563,1.099,5.066,0.977
0.776,-0.029,0.559,1.221,5.493,1.343
0.780,-0.027,0.553,0.977,5.676,1.465
0.788,-0.027,0.551,1.160,5.310,0.549
0.793,-0.032,0.553,1.648,4.639,-0.305
0.792,-0.038,0.556,2.014,3.662,-0.854
0.790,-0.041,0.559,2.502,2.380,-1.160
0.789,-0.044,0.564,3.113,1.526,-0.854
0.784,-0.048,0.569,3.357,1.099,-0.549
0.779,-0.052,0.571,3.174,0.916,-0.244
0.774,-0.054,0.573,3.113,1.526,-0.183
0.770,-0.055,0.573,3.113,2.258,-0.427
0.772,-0.057,0.574,2.869,2.563,-0.427
0.773,-0.060,0.576,2.747,2.991,-0.427
0.774,-0.061,0.577,2.991,2.991,-0.061
0.774,-0.061,0.578,3.296,2.747,0.244
0.772,-0.060,0.579,3.845,2.258,0.671
0.771,-0.059,0.577,4.028,1.770,1.160
0.772,-0.060,0.577,4.211,1.404,1.709
0.773,-0.059,0.578,4.456,1.526,2.075
0.775,-0.058,0.577,4.456,1.587,2.319
0.775,-0.058,0.578,4.272,2.075,2.563
0.778,-0.058,0.579,4.211,2.808,2.502
