ax,ay,az
0.208620,-0.108580,-0.244976
0.173240,-0.094184,-0.323788
0.081740,-0.125172,-0.376248
0.003660,-0.205692,-0.331352
0.010980,-0.375272,-0.214476
-0.019520,-0.521672,-0.210328
-0.063928,-0.581452,-0.234240
-0.111020,-0.561932,-0.273036
-0.176168,-0.597312,-0.402600
-0.230824,-0.764696,-0.605852
-0.184464,-0.465308,-0.112728
-0.185684,-0.137128,0.136396
-0.295728,0.582428,0.530212
-0.436516,1.613572,1.382016
-0.443348,1.723860,2.162328
-0.198128,1.064816,2.330200
0.098332,0.604876,2.234308
0.509228,0.139324,2.234796
0.874496,-0.072468,2.307264
1.093120,-0.004636,2.397788
1.190232,0.124928,2.387296
1.228540,0.185928,2.436096
1.243424,0.164456,2.497096
1.261236,0.209352,2.578592
1.260016,0.281576,2.685220
1.185352,0.464088,3.138816
1.325652,0.509228,3.502132
1.362740,0.526064,3.524824
1.448140,0.656848,3.255936
1.403488,0.551928,3.002664
1.384456,0.593164,3.097580
0.944768,0.400892,2.889448
0.430172,0.716628,2.809416
-0.094184,0.825696,2.470012
-0.254004,0.926468,2.563220
0.007808,0.822524,2.821128
-0.248392,1.167052,2.686196
-0.460428,1.424472,2.408524
-0.447496,1.540860,2.257732
-0.153232,1.436916,2.135000
0.017812,1.284172,1.936872
0.162748,1.064816,1.745088
0.180316,0.910852,1.595760
0.136152,0.821060,1.443260
0.039284,0.810324,1.381284
0.019032,0.666364,1.127280
0.122488,0.778360,1.149728
0.154208,0.659532,1.000156
0.231800,0.595116,0.794952
0.262300,0.573156,0.621468
0.240096,0.550952,0.258396
-0.006344,0.370880,0.079544
-0.152744,0.300120,0.015616
-0.260348,0.190808,-0.019520
-0.333060,0.077348,-0.093696
-0.419192,-0.001220,-0.055388
-0.514840,-0.154940,-0.090280
-0.599508,-0.255956,-0.167872
-0.685396,-0.403332,-0.247172
-0.771284,-0.588284,-0.267668
-0.871324,-0.750300,-0.319884
-1.060424,-0.892796,-0.250832
-1.159488,-0.966484,-0.167872
-1.322724,-0.893040,-0.054900
-1.547692,-0.900116,-0.040748
-1.870504,-0.928664,-0.257420
-2.038132,-0.548268,-0.370880
-1.941264,-0.671244,-0.235460
-1.781444,-1.107028,-0.266936
-1.733132,-1.154364,-0.376004
-1.696776,-0.836676,-0.409920
-1.579168,-0.783240,-0.416508
-1.439600,-0.711992,-0.353556
-1.383724,-0.593896,-0.230580
-1.373964,-0.427732,-0.115412
-1.340536,-0.295972,-0.008540
-1.283196,-0.192760,0.124928
-1.186816,-0.065392,0.291580
-1.054812,0.115412,0.441884
-0.912560,0.297924,0.604632
-0.652944,0.725168,0.864736
-0.546316,0.913292,0.948916
-0.446032,1.091168,1.032120
-0.351848,1.283928,1.098488
-0.232044,1.491328,1.173152
-0.138348,1.718736,1.263188
-0.054900,1.979084,1.338584
-0.004392,2.294576,1.375672
0.083936,2.632028,1.413736
0.173728,2.914824,1.441796
0.309880,3.117100,1.511092
0.463600,3.282532,1.639436
0.655628,3.413316,1.799988
0.904264,3.481392,1.982500
1.126060,3.518724,2.126460
1.254404,3.515064,2.254316
1.408856,3.455040,2.343132
1.475712,3.385012,2.410476
1.512068,3.300100,2.412184
1.436428,3.241052,2.343132
1.370548,3.204940,2.293112
1.345172,3.134424,2.192340
1.238544,3.035116,2.082784
1.155340,2.682292,1.889048
0.989420,2.478552,1.807796
0.870104,2.272616,1.726788
0.723460,2.081076,1.629676
0.589992,1.901492,1.554768
0.450668,1.707512,1.458876
0.294508,1.525732,1.347368
0.147864,1.358592,1.222440
0.032940,1.221220,1.123376
-0.066612,1.129232,1.046760
-0.067100,1.014064,0.983076
-0.068564,0.929640,0.962336
-0.106872,0.847656,0.956968
-0.174704,0.753228,0.930616
-0.233508,0.613660,0.875228
-0.261324,0.516060,0.871568
-0.275720,0.508252,0.864980
-0.289872,0.515084,0.819596
-0.314272,0.492392,0.747128
-0.347944,0.392596,0.736148
-0.350872,0.345504,0.574376
-0.303048,0.259372,0.337940
-0.292312,-0.046116,0.724192
-0.612928,-0.193736,0.508008
-0.654164,-0.164456,0.300120
-0.637572,-0.186416,0.240584
-0.634888,-0.240096,0.188368
-0.673196,-0.304024,0.099064
-0.723704,-0.370148,0.024888
-0.772992,-0.435052,-0.039772
-0.792756,-0.475068,-0.023668
-0.836920,-0.488000,-0.036112
-0.874496,-0.472384,-0.081740
-0.864492,-0.453840,-0.042212
-0.830820,-0.375516,0.019032
-0.780556,-0.307196,0.084180
