ax,ay,az
0.143472,-0.054656,1.035780
0.185196,-0.059536,1.001376
0.190808,-0.068320,1.012844
0.169580,-0.047336,1.000400
0.139080,-0.036112,0.982832
0.113460,-0.047336,0.985760
0.101504,-0.057584,1.003328
0.104920,-0.058072,1.020896
0.118340,-0.059048,1.028216
0.133712,-0.061732,1.024068
0.140544,-0.062220,1.018456
0.135176,-0.060268,1.040904
0.114436,-0.054168,1.057496
0.112240,-0.050020,1.064084
0.112484,-0.041968,1.057984
0.111752,-0.040748,1.040660
0.110776,-0.040748,1.023336
0.105896,-0.039528,1.014796
0.104188,-0.035136,1.015528
0.103456,-0.030012,1.024312
0.104188,-0.027816,1.027240
0.108092,-0.026840,1.024556
0.110044,-0.028060,1.023580
0.108580,-0.032208,1.012600
0.109312,-0.036844,1.000888
0.114192,-0.040748,0.994788
0.120292,-0.037820,0.969412
0.131516,-0.032452,0.935740
0.142740,-0.031964,0.916220
0.164944,-0.045384,0.970876
0.171532,-0.047824,0.998936
0.177388,-0.044164,0.994788
0.176168,-0.035136,0.980636
0.174948,-0.030988,0.970144
0.177632,-0.024644,0.972828
0.177876,-0.017812,0.984052
0.175192,-0.017812,0.998692
0.171776,-0.030744,1.011380
0.165188,-0.055876,1.032364
0.154452,-0.089060,1.041880
0.140788,-0.102480,1.027484
0.137860,-0.076128,0.995032
0.143228,-0.043188,0.965996
0.143228,-0.035868,0.970632
0.138348,-0.059536,0.992104
0.126636,-0.087596,1.004548
0.115656,-0.093940,1.009916
0.094916,-0.071248,1.000888
0.095892,-0.066856,1.000400
0.100040,-0.067832,1.000156
0.101504,-0.068076,1.000156
0.099796,-0.066856,1.000400
0.096380,-0.067588,1.000400
0.096136,-0.069296,1.000644
0.096624,-0.069540,1.002352
0.097600,-0.070272,1.006012
0.097112,-0.067344,1.010892
0.097844,-0.060024,1.015284
0.098332,-0.055144,1.010648
0.098820,-0.052216,1.005768
0.099064,-0.051484,1.000156
0.096380,-0.052460,0.991372
0.097356,-0.050996,0.984540
0.097112,-0.049532,0.985272
0.102480,-0.050264,0.994544
0.106140,-0.054656,0.937936
0.101504,-0.062464,0.996008
0.092964,-0.061000,0.987956
0.087108,-0.062708,0.980392
0.082960,-0.060024,0.979172
0.077592,-0.056608,0.979416
0.072224,-0.049776,0.975756
0.070516,-0.045628,0.974536
0.068564,-0.047824,0.978196
0.068564,-0.050020,0.985516
0.062464,-0.048800,0.986004
0.055876,-0.044896,0.986004
0.052216,-0.039772,0.985760
0.050996,-0.039284,0.983808
0.053924,-0.038552,0.979416
0.060024,-0.043676,0.976488
0.066368,-0.048556,0.981368
0.063928,-0.053924,0.993568
0.060268,-0.054656,1.005768
0.057340,-0.055632,1.024068
0.057828,-0.058804,1.024800
0.060756,-0.054168,1.029680
0.064904,-0.047092,1.026752
0.193004,-0.315004,0.843020
0.141276,-0.075884,1.079212
0.107360,0.041480,1.004060
0.088328,0.008052,1.008452
0.076372,-0.033184,1.008208
0.062708,-0.037576,0.973560
0.040992,-0.042944,0.843020
0.059780,-0.081740,1.021140
0.065636,-0.063684,1.066768
0.073200,-0.054900,1.006256
0.089548,-0.055144,0.997472
0.091988,-0.050996,1.015284
0.091988,-0.050264,1.008208
0.090524,-0.052216,0.993812
0.089548,-0.060512,1.000400
0.087596,-0.056120,0.993812
0.101260,-0.038796,0.985272
0.103700,-0.034892,0.983808
0.103944,-0.033916,0.980392
0.104676,-0.032452,0.975024
0.100284,-0.042456,0.972828
0.097600,-0.046116,0.971120
0.097112,-0.043920,0.968924
0.098820,-0.036600,0.969900
0.100284,-0.030256,0.971852
0.102724,-0.030988,0.972584
0.107848,-0.039284,0.971364
0.111020,-0.018300,0.940132
0.111752,-0.019520,0.923784
0.109800,-0.045140,0.925004
0.111020,-0.065148,0.933056
0.114924,-0.074420,0.952820
0.123464,-0.077836,0.951844
0.126636,-0.076128,0.950136
0.129320,-0.069540,0.951356
0.125416,-0.050752,0.973804
0.124440,-0.060756,0.990884
0.122732,-0.070028,1.000156
0.125660,-0.067588,0.995520
0.132004,-0.057828,0.988444
0.139080,-0.052216,0.988200
0.138104,-0.053680,0.986980
0.140300,-0.052704,0.984296
0.139568,-0.053924,0.979904
0.140056,-0.053924,0.978684
0.143472,-0.054900,0.977708
0.146888,-0.058804,0.978196
0.143716,-0.064660,0.974780
0.134932,-0.077836,0.972584
0.123952,-0.095404,0.982344
0.119560,-0.106628,0.999668
0.118340,-0.102480,1.009428
0.113948,-0.090036,1.007232
0.119804,-0.077836,1.000400
0.131272,-0.075884,1.000156
0.167384,-0.067588,0.986736
0.245464,-0.127124,1.045540
0.221308,-0.031476,1.017724
0.150060,0.012932,1.001132
0.084180,-0.064660,1.001376
0.067100,-0.134200,1.027972
0.085644,-0.141032,1.052372
0.106384,-0.103944,1.071892
0.115656,-0.062952,1.080676
0.113704,-0.034648,1.062620
0.108580,-0.019764,1.045540
0.108580,-0.021228,1.040904
0.112484,-0.032940,1.044564
0.117120,-0.047580,1.039684
0.124684,-0.056852,1.027728
0.127124,-0.062220,1.016016
0.126392,-0.065880,1.005036
0.124440,-0.069052,1.007964
0.122000,-0.067344,1.003572
0.123464,-0.067100,1.002108
0.123952,-0.059780,1.001864
0.124928,-0.051972,1.005280
0.123952,-0.045628,1.006500
0.120780,-0.044652,1.004304
0.120048,-0.049532,1.007964
0.118584,-0.052216,1.002840
0.116632,-0.049288,1.001620
0.117852,-0.047092,0.995032
0.118828,-0.048312,0.978196
0.114436,-0.048800,0.963068
0.107604,-0.045384,0.964044
0.109556,-0.040504,0.977464
0.111996,-0.036112,0.985272
0.112728,-0.034160,0.980148
0.115900,-0.030988,0.978440
0.126636,-0.023912,0.981124
0.119316,-0.015372,0.964776
0.097112,-0.021472,0.964044
0.080276,-0.030988,0.994788
0.084912,-0.030500,1.013576
0.103944,-0.020252,1.008208
0.130784,-0.008784,0.985272
0.155428,-0.010980,0.962824
0.165432,-0.014640,0.956724
0.168848,-0.028304,0.956724
0.205448,-0.023668,0.965020
0.273036,0.001220,1.025776
0.271328,-0.022692,1.009916
0.203008,-0.058316,0.953308
0.131272,-0.084424,0.914512
0.081252,-0.092476,0.945500
0.067100,-0.075396,1.003084
0.071492,-0.044164,1.037976
0.089792,-0.019276,1.006744
0.140300,-0.032208,1.000644
0.149816,-0.036600,1.001132
0.159576,-0.021960,1.015772
0.176656,-0.003416,1.021384
