Train Epoch: 1 [0/60000 (0%)]	Loss: 2.297363
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.840027
Train Epoch: 1 [1280/60000 (2%)]	Loss: 1.219826
Train Epoch: 1 [1920/60000 (3%)]	Loss: nan
Train Epoch: 1 [2560/60000 (4%)]	Loss: nan
Train Epoch: 1 [3200/60000 (5%)]	Loss: nan
Train Epoch: 1 [3840/60000 (6%)]	Loss: nan
Train Epoch: 1 [4480/60000 (7%)]	Loss: nan
Train Epoch: 1 [5120/60000 (9%)]	Loss: nan
Train Epoch: 1 [5760/60000 (10%)]	Loss: nan
Train Epoch: 1 [6400/60000 (11%)]	Loss: nan
Train Epoch: 1 [7040/60000 (12%)]	Loss: nan
Train Epoch: 1 [7680/60000 (13%)]	Loss: nan
Train Epoch: 1 [8320/60000 (14%)]	Loss: nan
Train Epoch: 1 [8960/60000 (15%)]	Loss: nan
Train Epoch: 1 [9600/60000 (16%)]	Loss: nan
Train Epoch: 1 [10240/60000 (17%)]	Loss: nan
Train Epoch: 1 [10880/60000 (18%)]	Loss: nan
Train Epoch: 1 [11520/60000 (19%)]	Loss: nan
Train Epoch: 1 [12160/60000 (20%)]	Loss: nan
Train Epoch: 1 [12800/60000 (21%)]	Loss: nan
Train Epoch: 1 [13440/60000 (22%)]	Loss: nan
Train Epoch: 1 [14080/60000 (23%)]	Loss: nan
Train Epoch: 1 [14720/60000 (25%)]	Loss: nan
Train Epoch: 1 [15360/60000 (26%)]	Loss: nan
Train Epoch: 1 [16000/60000 (27%)]	Loss: nan
Train Epoch: 1 [16640/60000 (28%)]	Loss: nan
Train Epoch: 1 [17280/60000 (29%)]	Loss: nan
Train Epoch: 1 [17920/60000 (30%)]	Loss: nan
Train Epoch: 1 [18560/60000 (31%)]	Loss: nan
Train Epoch: 1 [19200/60000 (32%)]	Loss: nan
Train Epoch: 1 [19840/60000 (33%)]	Loss: nan
Train Epoch: 1 [20480/60000 (34%)]	Loss: nan
Train Epoch: 1 [21120/60000 (35%)]	Loss: nan
Train Epoch: 1 [21760/60000 (36%)]	Loss: nan
Train Epoch: 1 [22400/60000 (37%)]	Loss: nan
Train Epoch: 1 [23040/60000 (38%)]	Loss: nan
Train Epoch: 1 [23680/60000 (39%)]	Loss: nan
Train Epoch: 1 [24320/60000 (41%)]	Loss: nan
Train Epoch: 1 [24960/60000 (42%)]	Loss: nan
Train Epoch: 1 [25600/60000 (43%)]	Loss: nan
Train Epoch: 1 [26240/60000 (44%)]	Loss: nan
Train Epoch: 1 [26880/60000 (45%)]	Loss: nan
Train Epoch: 1 [27520/60000 (46%)]	Loss: nan
Train Epoch: 1 [28160/60000 (47%)]	Loss: nan
Train Epoch: 1 [28800/60000 (48%)]	Loss: nan
Train Epoch: 1 [29440/60000 (49%)]	Loss: nan
Train Epoch: 1 [30080/60000 (50%)]	Loss: nan
Train Epoch: 1 [30720/60000 (51%)]	Loss: nan
