Initialize correctly IMU!
Step Detector Configured. Starting...
ax,ay,az,state,step_detected
Measured Frequency: 0 Hz
-0.110532,0.362340,1.173640,LOOKING_FOR_FIRST_MAX,0
-0.123708,0.354288,1.122644,LOOKING_FOR_FIRST_MAX,0
-0.139568,0.331596,1.079456,LOOKING_FOR_FIRST_MAX,0
-0.156648,0.313052,1.066524,LOOKING_FOR_FIRST_MAX,0
-0.153720,0.304756,1.071160,LOOKING_FOR_FIRST_MAX,0
-0.153720,0.312808,1.096292,LOOKING_FOR_FIRST_MAX,0
-0.154452,0.310124,1.113860,LOOKING_FOR_FIRST_MAX,0
-0.163724,0.296460,1.113128,LOOKING_FOR_FIRST_MAX,0
-0.172508,0.276696,1.087264,LOOKING_FOR_FIRST_MAX,0
-0.181780,0.262056,1.049688,LOOKING_FOR_FIRST_MAX,0
-0.166896,0.144448,1.026996,LOOKING_FOR_FIRST_MAX,0
-0.151036,0.055876,1.020164,LOOKING_FOR_FIRST_MAX,0
-0.127612,0.014640,1.015284,LOOKING_FOR_FIRST_MAX,0
-0.096380,0.043920,1.039928,LOOKING_FOR_FIRST_MAX,0
-0.082228,0.061244,1.038220,LOOKING_FOR_FIRST_MAX,0
-0.010248,0.028792,1.000888,LOOKING_FOR_FIRST_MAX,0
-0.041236,0.029524,1.001620,LOOKING_FOR_FIRST_MAX,0
-0.030744,0.033184,1.004548,LOOKING_FOR_FIRST_MAX,0
-0.022692,0.012932,0.976732,LOOKING_FOR_FIRST_MAX,0
-0.017324,0.008540,0.966972,LOOKING_FOR_FIRST_MAX,0
-0.011224,0.018788,0.967216,LOOKING_FOR_FIRST_MAX,0
-0.007808,-0.001952,0.940132,LOOKING_FOR_FIRST_MAX,0
-0.010248,-0.008540,0.930616,LOOKING_FOR_FIRST_MAX,0
-0.011224,-0.012688,0.926468,LOOKING_FOR_FIRST_MAX,0
-0.013908,-0.022448,0.914268,LOOKING_FOR_FIRST_MAX,0
-0.014152,-0.027572,0.904020,LOOKING_FOR_FIRST_MAX,0
-0.017324,-0.027572,0.905484,LOOKING_FOR_FIRST_MAX,0
-0.022936,-0.032696,0.928908,LOOKING_FOR_FIRST_MAX,0
-0.023424,-0.041236,0.933788,LOOKING_FOR_FIRST_MAX,0
-0.017324,-0.066612,0.944768,LOOKING_FOR_FIRST_MAX,0
-0.009028,-0.068320,0.943060,LOOKING_FOR_FIRST_MAX,0
-0.001220,-0.037332,0.932080,LOOKING_FOR_FIRST_MAX,0
0.009760,-0.011468,0.925492,LOOKING_FOR_FIRST_MAX,0
0.024400,0.024156,0.909144,LOOKING_FOR_FIRST_MAX,0
0.030012,0.033672,0.923540,LOOKING_FOR_FIRST_MAX,0
0.017568,0.016348,0.913292,LOOKING_FOR_FIRST_MAX,0
-0.006100,0.025864,0.893772,LOOKING_FOR_FIRST_MAX,0
0.013908,0.098332,0.908900,LOOKING_FOR_FIRST_MAX,0
0.018544,0.246196,0.906948,LOOKING_FOR_FIRST_MAX,0
0.002928,0.239852,0.921588,LOOKING_FOR_FIRST_MAX,0
-0.000244,0.155184,1.098976,LOOKING_FOR_FIRST_MAX,0
-0.011956,-0.284504,1.178764,LOOKING_FOR_FIRST_MAX,0
-0.090280,-0.514596,1.308328,LOOKING_FOR_FIRST_MAX,0
-0.013908,-0.325252,1.096048,LOOKING_FOR_FIRST_MAX,0
0.100772,-0.198372,1.204872,LOOKING_FOR_FIRST_MAX,0
-0.010248,-0.224480,1.095316,LOOKING_FOR_FIRST_MAX,0
-0.091012,-0.271572,1.070916,LOOKING_FOR_FIRST_MAX,0
-0.007564,-0.318420,1.072380,LOOKING_FOR_FIRST_MAX,0
-0.006100,-0.260104,1.091900,LOOKING_FOR_FIRST_MAX,0
-0.021228,-0.203252,1.043588,LOOKING_FOR_FIRST_MAX,0
-0.053436,-0.103944,0.931348,LOOKING_FOR_FIRST_MAX,0
-0.072224,-0.031476,0.891820,LOOKING_FOR_FIRST_MAX,0
-0.063684,0.000000,0.987224,LOOKING_FOR_FIRST_MAX,0
-0.060268,0.005368,1.034316,LOOKING_FOR_FIRST_MAX,0
-0.066612,0.002196,1.025044,LOOKING_FOR_FIRST_MAX,0
-0.075640,-0.000976,1.016992,LOOKING_FOR_FIRST_MAX,0
-0.082472,-0.000244,1.032852,LOOKING_FOR_FIRST_MAX,0
-0.089060,-0.002196,1.035536,LOOKING_FOR_FIRST_MAX,0
-0.093696,-0.015616,1.040172,LOOKING_FOR_FIRST_MAX,0
-0.100040,-0.059780,1.055788,LOOKING_FOR_FIRST_MAX,0
-0.103700,-0.046848,1.067744,LOOKING_FOR_FIRST_MAX,0
-0.108580,-0.055388,1.064816,LOOKING_FOR_FIRST_MAX,0
-0.103944,-0.040748,1.063596,LOOKING_FOR_FIRST_MAX,0
-0.099796,-0.016104,1.064328,LOOKING_FOR_FIRST_MAX,0
-0.087352,-0.008296,0.992592,LOOKING_FOR_FIRST_MAX,0
-0.073444,-0.004148,1.000400,LOOKING_FOR_FIRST_MAX,0
-0.055388,-0.031476,0.982344,LOOKING_FOR_FIRST_MAX,0
-0.032940,-0.028548,1.017724,LOOKING_FOR_FIRST_MAX,0
